ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,hide,hide,hide,hide,感觉睡了一天，好累啊,医院晚,平静小曲,,,
1001,Me,,,,,头疼啊...,病房,,,,
1002,Me,,,,,嗯...,,,,,
1003,神,,,神_normal,,Boy，能Hear吗,,,,,
1004,Me,,,,,唉，什么事？,,,,,
1005,神,,,神_normal,,接下来的路，You得自己走了,,,,,
1006,Me,,,,,何意味？,,,,,
1007,神,,,神_normal,,恐怕Me就要消失了,,,,,
1008,Me,,,,,...这个雕像终于要被捣掉了,,,,,
1009,神,,,神_normal,,现在Me已经无意跟You开玩笑了,,,,,
1010,神,,,神_normal,,这幅残破的Body已经要撑不下去了,,,,,
1011,神,,,神_normal,,没有信徒的神明即将要消失...,,,,,
1012,神,,,神_normal,,希望你有面对各种挑战都不会气馁的决意,,,,,
1013,神,,,神_normal,,Me需要Boy相信，任何的绝境都有可以逆转的机会,,,,,
1014,神,,,神_normal,,所以，今后也要再接再厉,,,,,
1015,神,,,神_normal,,——Your God,,,,,
1016,hide,,,神_normal,,......,,,,,
1017,hide,,,,,............,,,,,
1018,Me,,,,,喂，你开什么国际玩笑，等等！,,,,,
1019,Me,,,,,不会吧...,,,,,
1020,Me,,,,,回来啊，臭雕像...,,,,,
1021,Me,,,,,靠......,,,,,
1022,hide,,,,,......,black,,,,
1023,Me,,,,,自那之后，我度过了风平浪静的两天,医院早,,,,
1024,Me,,,,,经过第二轮换药，手脚的伤势恢复更上一层楼,,,,,
1025,Me,,,,,,,,,,
1026,,,,,,,,,,,
1027,,,,,,,,,,,
1028,,,,,,,,,,,
1029,,,,,,,,,,,
1030,,,,,,,,,,,
1031,,,,,,,,,,,
1032,,,,,,,,,,,
1033,,,,,,,,,,,
1034,,,,,,,,,,,
1035,,,,,,,,,,,
1036,,,,,,,,,,,
1037,,,,,,,,,,,
1038,,,,,,,,,,,
1039,,,,,,,,,,,
1040,,,,,,,,,,,
1041,,,,,,,,,,,
1042,,,,,,,,,,,
1043,,,,,,,,,,,
1044,,,,,,,,,,,
1045,,,,,,,,,,,
1046,,,,,,,,,,,
1047,,,,,,,,,,,
1048,,,,,,,,,,,
1049,,,,,,,,,,,
1050,,,,,,,,,,,
1051,,,,,,,,,,,
1052,,,,,,,,,,,
1053,,,,,,,,,,,
1054,,,,,,,,,,,
1055,,,,,,,,,,,
1056,,,,,,,,,,,
1057,,,,,,,,,,,
1058,,,,,,,,,,,
1059,,,,,,,,,,,
1060,,,,,,,,,,,
1061,,,,,,,,,,,
1062,,,,,,,,,,,
1063,,,,,,,,,,,
1064,,,,,,,,,,,
1065,,,,,,,,,,,
1066,,,,,,,,,,,
1067,,,,,,,,,,,
1068,,,,,,,,,,,
